Country,Year,Co2,Co2_per_capita,Gdp,Gdp_per_capita,Coal_co2,Cement_co2,Flaring_co2,Gas_co2,Oil_co2,Coal_co2_per_capita,Cement_co2_per_capita,Flaring_co2_per_capita,Gas_co2_per_capita,Oil_co2_per_capita,Cumulative_co2,Cumulative_coal_co2,Cumulative_cement_co2,Cumulative_flaring_co2,Cumulative_gas_co2,Cumulative_oil_co2,Annual_co2_fossil_cement,Co2_per_gdp,Consumption_co2_per_gdp,Consumption_co2,Consumption_co2_per_capita
United States,2007,5740270.0,19.05602695,14451900000000.0,47975.9677,2208712130,45508881,38375187.0,1257550285.0,2551510259,7.3475,0.1514,0.1277,4.1834,8.4878,346607456179.0,154999269600.0,2259088317,1515054626.0,57665736495.0,129149749431.0,6131004158,0.399,0.4308,6618791569.117,22.018
India,2008,1423880.0,1.185904772,1198900000000.0,998.5223415,912092836,73244725,2114133.0,63046601.0,412316303,0.7597,0.061,0.0018,0.0525,0.3434,28407063143.0,18618778763.0,1125457830,144346712.0,898467174.0,7620012667.0,1462814598,0.3179,0.2964,1363871625.8917,1.1359
Japan,2008,1159620.0,9.055074456,5106680000000.0,39876.30397,426081426,28552561,565173.0,204484663.0,562910364,3.3148,0.2221,0.0044,1.5908,4.3793,51201790632.0,18408377775.0,1673645736,9911014.0,3980292019.0,26940834026.0,1232313730,0.2717,0.3278,1487071975.5825,11.5691
Russia,2008,1613140.0,11.3010597,1660850000000.0,11635.27293,448428418,23625365,28059606.0,778187257.0,342160792,3.1304,0.1649,0.1959,5.4324,2.3886,95778368168.0,40300546056.0,1364495847,733820465.0,24809069896.0,28220300007.0,1636923059,0.5331,0.4379,1344468674.6985,9.3856
United States,2008,5563340.0,18.29480563,14712800000000.0,48382.55845,2174329138,41415652,39846785.0,1266645331.0,2363675615,7.1645,0.1365,0.1313,4.1737,7.7884,352521533945.0,157173598738.0,2300503969,1554901411.0,58932381826.0,131513425046.0,5914077766,0.386,0.4121,6313033410.0958,20.8017
India,2009,1568530.0,1.288080997,1341890000000.0,1101.960838,985348666,81267957,1905276.0,112684767.0,431609933,0.8092,0.0667,0.0016,0.0925,0.3544,30019879742.0,19604127429.0,1206725787,146251988.0,1011151941.0,8051622600.0,1612816599,0.3261,0.3113,1539688588.1008,1.2644
Japan,2009,1101210.0,8.600045296,5289490000000.0,41308.99684,411059961,25308482,500847.0,202176743.0,515912154,3.1975,0.1969,0.0039,1.5727,4.0132,52365003563.0,18819437736.0,1698954218,10411861.0,4182468762.0,27456746180.0,1163212931,0.2713,0.3179,1363149962.2029,10.6036
Russia,2009,1495170.0,10.4714525,1222640000000.0,8562.813277,415649613,19746372,29271365.0,730871779.0,321193282,2.9,0.1378,0.2042,5.0993,2.241,97307329243.0,40716195669.0,1384242219,763091830.0,25539941675.0,28541493289.0,1528961075,0.5277,0.4412,1278490827.5126,8.9201
United States,2009,5159550.0,16.81886848,14448900000000.0,47099.98047,1905943279,29614644,39070586.0,1245741859.0,2233033231,6.2223,0.0967,0.1276,4.067,7.2902,357999743631.0,159079542017.0,2330118613,1593971997.0,60178123685.0,133746458277.0,5478209686,0.3678,0.3891,5795484687.5618,18.9205
India,2010,1665310.0,1.349214466,1675620000000.0,1357.563727,1017375668,86029240,1864976.0,134244240.0,438373461,0.8243,0.0697,0.0015,0.1088,0.3552,31697767327.0,20621503097.0,1292755027,148116964.0,1145396181.0,8489996061.0,1677887585,0.3157,0.2989,1588694915.2705,1.2871
Japan,2010,1156080.0,9.026938393,5759070000000.0,44968.15623,445733855,24321271,474549.0,213341562.0,521744242,3.4676,0.1892,0.0037,1.6597,4.0589,53579819796.0,19265171591.0,1723275489,10886410.0,4395810324.0,27978490422.0,1214816233,0.2721,0.3206,1431593613.1774,11.1371
Russia,2010,1583160.0,11.08271541,1524920000000.0,10674.99578,415282389,22722614,36249929.0,792563304.0,331844462,2.8944,0.1584,0.2526,5.5239,2.3128,98920442277.0,41131478058.0,1406964833,799341759.0,26332504979.0,28873337751.0,1613113034,0.5205,0.4352,1348809385.9989,9.4007
United States,2010,5392870.0,17.43419587,14992100000000.0,48466.6576,2013303900,31449235,41342999.0,1308832053.0,2250504028,6.5153,0.1018,0.1338,4.2355,7.2829,363675530066.0,161092845917.0,2361567848,1635314996.0,61486955738.0,135996962305.0,5675786435,0.3717,0.3928,5998162899.9867,19.4108
India,2011,1760800.0,1.408315593,1823050000000.0,1458.104066,1091464571,91314496,2077488.0,136364239.0,458909201,0.873,0.073,0.0017,0.1091,0.367,33477897323.0,21712967668.0,1384069523,150194452.0,1281760420.0,8948905262.0,1780129996,0.3136,0.2932,1664060965.5562,1.3309
Japan,2011,1212170.0,9.482449759,6233150000000.0,48760.07895,430265145,24982896,477476.0,247922677.0,552340564,3.3484,0.1944,0.0037,1.9294,4.2984,54844685895.0,19695436736.0,1748258385,11363886.0,4643733001.0,28530830986.0,1264866099,0.2838,0.3419,1523786080.3169,11.8584
Russia,2011,1661780.0,11.62401683,2045930000000.0,14311.08432,426382471,25128527,38945280.0,815661184.0,344117271,2.9671,0.1749,0.271,5.676,2.3946,100585649055.0,41557860529.0,1432093360,838287039.0,27148166163.0,29217455022.0,1665206778,0.5046,0.4305,1420830528.9824,9.8873
United States,2011,5172100.0,16.59940374,15542600000000.0,49882.55813,1903554697,32208358,45542397.0,1327527756.0,2201746520,6.1093,0.1034,0.1462,4.2606,7.0663,369215703544.0,162996400614.0,2393776206,1680857393.0,62814483494.0,138198708825.0,5540173478,0.3572,0.3832,5942502789.8408,19.0719
India,2012,1908570.0,1.507820975,1827640000000.0,1443.882435,1247112478,100237156,2077488.0,125604798.0,488554125,0.9853,0.0792,0.0016,0.0992,0.386,35441483368.0,22960080146.0,1484306679,152271940.0,1407365218.0,9437459387.0,1963586045,0.33,0.3063,1822406943.8982,1.4397
Japan,2012,1252220.0,9.811406499,6272360000000.0,49145.28043,449801067,25624795,490268.0,257022425.0,564168727,3.5025,0.1995,0.0038,2.0014,4.393,56150695737.0,20145237803.0,1773883180,11854154.0,4900755426.0,29094999713.0,1306009842,0.2887,0.3448,1559778825.4897,12.1456
Russia,2012,1666860.0,11.63994391,2208300000000.0,15420.87454,441256620,26331668,39948740.0,804975624.0,351771385,3.0644,0.1829,0.2774,5.5903,2.443,102265753414.0,41999117149.0,1458425028,878235779.0,27953141787.0,29569226407.0,1680104359,0.491,0.4309,1474346513.2894,10.239
United States,2012,4950210.0,15.77114462,16197000000000.0,51602.93105,1684036507,35270345,48883000.0,1388254643.0,2152124354,5.3624,0.1123,0.1557,4.4206,6.8529,374554401888.0,164680437121.0,2429046551,1729740393.0,64202738137.0,140350833179.0,5338698344,0.3368,0.3605,5714302575.9457,18.1959
India,2013,1966810.0,1.535560059,1856720000000.0,1449.610451,1320664418,107819842,2121456.0,110689227.0,495642138,1.0311,0.0842,0.0017,0.0864,0.387,37478420449.0,24280744564.0,1592126521,154393396.0,1518054445.0,9933101525.0,2036937081,0.3223,0.2893,1828506909.8342,1.4276
Japan,2013,1260900.0,9.893679627,5212330000000.0,40898.6479,480985001,26805206,438198.0,256490809.0,541440844,3.7485,0.2089,0.0034,1.9989,4.2196,57466038395.0,20626222804.0,1800688386,12292352.0,5157246235.0,29636440557.0,1315342658,0.2851,0.3287,1516755674.56,11.8206
Russia,2013,1624020.0,11.31666091,2292470000000.0,15974.64463,403814330,27281460,36979299.0,780453844.0,354646137,2.7979,0.189,0.2562,5.4076,2.4573,103885173098.0,42402931479.0,1485706488,915215078.0,28733595631.0,29923872544.0,1619419684,0.4662,0.4136,1436667787.2438,9.9544
United States,2013,5089500.0,16.10295784,16784800000000.0,53106.53677,1740832988,36369227,54647366.0,1427506453.0,2184125087,5.502,0.1149,0.1727,4.5117,6.903,380028658658.0,166421270109.0,2465415778,1784387759.0,65630244590.0,142534958266.0,5474256770,0.3398,0.3599,5797617450.8475,18.3237
India,2014,2136870.0,1.649327519,2039130000000.0,1573.885642,1447722853,115824896,1674448.0,109467500.0,511166221,1.1174,0.0894,0.0013,0.0845,0.3945,39664276367.0,25728467417.0,1707951417,156067844.0,1627521945.0,10444267746.0,2185855918,0.3236,0.2933,1981264071.0265,1.5292
Japan,2014,1219820.0,9.584053553,4896990000000.0,38475.39525,472225512,26557375,449078.0,258548469.0,496795383,3.6844,0.2072,0.0035,2.0173,3.8761,58729767154.0,21098448316.0,1827245761,12741430.0,5415794704.0,30133235940.0,1263728759,0.273,0.3129,1448424846.7936,11.3009
Russia,2014,1606860.0,11.17274176,2059240000000.0,14095.64874,392612970,26453326,29475303.0,772753422.0,384603806,2.7139,0.1829,0.2037,5.3417,2.6586,105507761691.0,42795544449.0,1512159814,944690381.0,29506349053.0,30308476350.0,1622588593,0.4558,0.3986,1418994640.6607,9.8088
United States,2014,5102580.0,16.02637907,17527200000000.0,55049.98833,1734525541,39439018,59752869.0,1455804150.0,2201175844,5.443,0.1238,0.1875,4.5683,6.9073,385551465860.0,168155795650.0,2504854796,1844140628.0,67086048740.0,144736134110.0,5522807202,0.3351,0.3533,5823157558.3747,18.2731
India,2015,2150220.0,1.641198393,2103590000000.0,1605.605445,1487725704,117507915,1674448.0,106870633.0,554788779,1.1355,0.0897,0.0013,0.0816,0.4235,41932843845.0,27216193121.0,1825459332,157742292.0,1734392578.0,10999056525.0,2268567478,0.3125,0.2863,2078202010.0054,1.5862
Japan,2015,1181500.0,9.292832367,4444930000000.0,34960.63938,465628827,25936140,424711.0,246428641.0,476371529,3.6381,0.2026,0.0033,1.9254,3.7221,59953163599.0,21564077143.0,1853181901,13166141.0,5662223345.0,30609607469.0,1223396445,0.2611,0.2955,1384435588.0763,10.8172
Russia,2015,1557530.0,10.80890931,1363480000000.0,9313.013625,412579963,23171307,25536514.0,737455339.0,407459359,2.8457,0.1598,0.1761,5.0864,2.8104,107130861540.0,43208124412.0,1535331121,970226895.0,30243804392.0,30715935709.0,1623099849,0.4687,0.4009,1388441921.7448,9.5764
United States,2015,4982790.0,15.53534211,18238300000000.0,56863.3715,1504945744,39907292,61546500.0,1495321179.0,2239489551,4.6901,0.1244,0.1918,4.6601,6.9792,390923236417.0,169660741394.0,2544762088,1905687128.0,68581369919.0,146975623661.0,5371770557,0.3178,0.3372,5699688429.5853,17.7628
India,2016,2183280.0,1.648359053,2294800000000.0,1732.554242,1530270592,123281311,1883293.0,113622467.0,613165557,1.1553,0.0931,0.0014,0.0858,0.4629,44315067065.0,28746463713.0,1948740643,159625585.0,1848015045.0,11612222082.0,2382223220,0.3067,0.2805,2178527400.1362,1.6448
Japan,2016,1171390.0,9.22394197,5003680000000.0,39400.73936,456358246,25969471,457106.0,251595944.0,460901236,3.5719,0.2033,0.0036,1.9692,3.6075,61156881479.0,22020435389.0,1879151372,13623247.0,5913819289.0,31070508705.0,1203717880,0.2544,0.2884,1364764102.0811,10.682
Russia,2016,1530900.0,10.60603144,1276790000000.0,8704.898413,400712725,20432102,27888572.0,751164410.0,402643226,2.7583,0.1406,0.192,5.1706,2.7716,108749460480.0,43608837137.0,1555763223,998115467.0,30994968802.0,31118578935.0,1618598940,0.4675,0.4099,1419049638.3301,9.768
United States,2016,4888640.0,15.13174682,18745100000000.0,58021.4005,1379743915,39439018,51908396.0,1502475490.0,2246524382,4.2714,0.1221,0.1607,4.6514,6.9548,396171260348.0,171040485309.0,2584201106,1957595524.0,70083845409.0,149222148043.0,5248023931,0.3058,0.3249,5576719798.0153,17.2645
India,2017,2301440.0,1.7191902,2651470000000.0,1980.66702,1561223559,121047241,1575522.0,118922003.0,631087430,1.1662,0.0904,0.0012,0.0888,0.4714,46748922819.0,30307687272.0,2069787884,161201107.0,1966937048.0,12243309512.0,2433855754,0.2941,0.2711,2243221347.6559,1.6757
Japan,2017,1151930.0,9.085639143,4930840000000.0,38891.08627,458309038,26428778,436076.0,245716728.0,448760195,3.5945,0.2073,0.0034,1.9271,3.5196,62345004321.0,22478744427.0,1905580150,14059323.0,6159536017.0,31519268900.0,1188122842,0.2453,0.2783,1348075187.5574,10.5729
Russia,2017,1557190.0,10.77664459,1574200000000.0,10720.33266,383255801,20512221,32029887.0,779289873.0,415110297,2.6335,0.1409,0.2201,5.3548,2.8524,110395917448.0,43992092938.0,1576275444,1030145354.0,31774258675.0,31533689232.0,1646456968,0.4672,0.4094,1442710223.9871,9.9135
United States,2017,4813720.0,14.80588242,19543000000000.0,60109.65573,1338666724,40323535,56186215.0,1480058758.0,2265325631,4.1179,0.124,0.1728,4.5528,6.9684,401379011626.0,172379152033.0,2624524641,2013781739.0,71563904167.0,151487473674.0,5207751278,0.296,0.3155,5550771948.4918,17.0748
India,2018,2434520.0,1.799825446,2701110000000.0,1996.915087,1677771190,138964893,1678112.0,126201229.0,655190293,1.2404,0.1027,0.0012,0.0933,0.4844,49348728536.0,31985458462.0,2208752777,162879219.0,2093138277.0,12898499805.0,2599805717,0.2942,0.2675,2363275150.185,1.7472
Japan,2018,1106150.0,8.74225771,5036890000000.0,39808.16856,441800091,26182944,413613.0,233969094.0,432717873,3.4732,0.2058,0.0033,1.8393,3.4018,63488462197.0,22920544518.0,1931763094,14472936.0,6393505111.0,31951986773.0,1143457876,0.2349,0.2713,1320357754.1497,10.38
Russia,2018,1607550.0,11.12661837,1657330000000.0,11287.35528,394979110,20090711,37505808.0,828222514.0,393248003,2.7103,0.1379,0.2574,5.6831,2.6984,112087564166.0,44387072048.0,1596366155,1067651162.0,32602481189.0,31926937235.0,1691646718,0.4682,0.3915,1414733722.7887,9.7076
United States,2018,4981300.0,15.24087458,20611900000000.0,63064.41841,1283532215,38970745,71007909.0,1641041153.0,2316810796,3.924,0.1191,0.2171,5.017,7.083,406754502240.0,173662684248.0,2663495386,2084789648.0,73204945320.0,153804284470.0,5375490614,0.2963,0.3157,5726610566.991,17.5074
India,2019,,,2870500000000.0,2100.751461,1677934376,143664137,1678112.0,128680060.0,674011463,1.228,0.1051,0.0012,0.0942,0.4933,51974696684.0,33663392838.0,2352416914,164557331.0,2221818337.0,13572511268.0,2625968148,,,2410472685.8377,1.7641
Japan,2019,,,5148780000000.0,40777.6087,432133391,25376205,393235.0,224221791.0,415702661,3.4064,0.2,0.0031,1.7675,3.2769,64594391532.0,23352677909.0,1957139299,14866171.0,6617726902.0,32367689434.0,1105929335,,,1288063113.8887,10.1534
Russia,2019,,,1687450000000.0,11497.64925,388867678,20306193,46762006.0,807420644.0,399335531,2.6658,0.1392,0.3206,5.5351,2.7376,113767013493.0,44775939726.0,1616672348,1114413168.0,33409901833.0,32326272766.0,1679449327,,,1432702757.355,9.8216
United States,2019,,,21433200000000.0,65279.52903,1098853710,40895869,84509725.0,1694894099.0,2313371925,3.3393,0.1243,0.2568,5.1506,7.0301,412010318447.0,174761537958.0,2704391255,2169299373.0,74899839419.0,156117656395.0001,5255816207,,,5625783551.9945,17.0963
India,2020,,,2660250000000.0,1927.707823,1587552167,122908202,1678112.0,126984149.0,602669683,1.1504,0.0891,0.0012,0.092,0.4367,54416488997.0,35250945005.0,2475325116,166235443.0,2348802486.0,14175180951.0,2441792313,,,,
Japan,2020,,,5057760000000.0,40193.25244,402978629,25376205,393235.0,216543705.0,377381559,3.1862,0.2006,0.0031,1.7121,2.9838,65625166916.0,23755656538.0,1982515504,15259406.0,6834270607.0,32745070993.0,1030775384,,,,
Russia,2020,,,1483500000000.0,10126.72179,356945515,20306193,46762006.0,747590858.0,388774194,2.4459,0.1391,0.3204,5.1228,2.664,115344149534.0,45132885241.0,1636978541,1161175174.0,34157492691.0,32715046960.0,1577136041,,,,
United States,2020,,,20953000000000.0,63593.44362,888649393,40794578,84509725.0,1654988292.0,2020537707,2.6847,0.1232,0.2553,4.9999,6.1043,416723089020.0,175650187351.0,2745185833,2253809098.0,76554827711.0,158138194102.0001,4712770573,,,,
