Country,Year,Co2,Co2_per_capita,Gdp,Gdp_per_capita,Coal_co2,Cement_co2,Flaring_co2,Gas_co2,Oil_co2,Coal_co2_per_capita,Cement_co2_per_capita,Flaring_co2_per_capita,Gas_co2_per_capita,Oil_co2_per_capita,Cumulative_co2,Cumulative_coal_co2,Cumulative_cement_co2,Cumulative_flaring_co2,Cumulative_gas_co2,Cumulative_oil_co2,Annual_co2_fossil_cement,Co2_per_gdp,Consumption_co2_per_gdp,Consumption_co2,Consumption_co2_per_capita
India,1969,190724.337,0.35118733,58447995017.0,107.6223184,123543454,6438390,1260440.0,996627.0,45350200,0.2275,0.0119,0.0023,0.0018,0.0835,4196065120.0,3559920902.0,87812195,6324116.0,2876266.0,539131642.0,177589111,0.2492,,,
Japan,1969,653958.112,6.397617977,172204000000.0,1684.659403,221022233,25399869,,4719206.0,402074113,2.1356,0.2454,,0.0456,3.8849,9525543073.0,6794672997.0,270604168,,41113635.0,2419152270.0,653215421,0.4476,,,
Russia,1969,2242938.885,17.29808493,,,657658234,26904782,,238838883.0,443739181,5.0785,0.2078,,1.8444,3.4266,23587153361.0,15385633670.0,301257430,,1769915901.0,6130346373.0,1367141080,1.2322,,,
United States,1969,4024748.853,19.85794566,1019900000000.0,5032.144743,1157999872,35477321,28315392.0,1018082704.0,1781627328,5.5764,0.1708,0.1364,4.9027,8.5796,149979461700.0,89174391124.0,876414677,651096518.0,16661206732.0,42320385407.0,4034925667,0.8228,,,
India,1970,195143.072,0.351488938,62422483055.0,112.4344925,123726984,6494620,1421632.0,923328.0,49332096,0.2229,0.0117,0.0026,0.0017,0.0889,4377963780.0,3683647886.0,94306815,7745748.0,3799594.0,588463738.0,181898660,0.2429,,,
Japan,1970,768823.22,7.435211938,212609000000.0,2056.122046,229263808,28267462,40304.0,7676080.0,502715456,2.1849,0.2694,0.0004,0.0732,4.791,10293506183.0,7023936805.0,298871630,40304.0,48789715.0,2921867726.0,767963110,0.4753,,,
Russia,1970,2359142.448,18.09102825,,,702836923,28510560,,221803794.0,484719305,5.4003,0.2191,,1.7042,3.7244,25025023943.0,16088470593.0,329767990,,1991719695.0,6615065678.0,1437870582,1.1955,,,
United States,1970,4328904.501,21.11125227,1073300000000.0,5234.296666,1168090528,34709231,26248896.0,1059211104.0,2038081680,5.5753,0.1657,0.1253,5.0556,9.7277,154318932789.0,90342481652.0,911123908,677345414.0,17720417836.0,44358467087.0,4339471089,0.8833,,,
India,1971,205869.047,0.362529742,67350988021.0,118.6032415,127147379,7052059,1417943.0,1084525.0,55442660,0.2239,0.0124,0.0025,0.0019,0.0976,4570108346.0,3810795265.0,101358874,9163691.0,4884119.0,643906398.0,192144566,0.2543,,,
Japan,1971,797543.164,7.545561028,240152000000.0,2272.077802,206384843,29269567,40304.0,8093739.0,552755827,1.9392,0.275,0.0004,0.076,5.1938,11090050463.0,7230321648.0,328141197,80608.0,56883454.0,3474623553.0,796544280,0.4709,,,
